OrderID,Product,Quantity,OrderDate,DeliveryTime_days,PriorityNum,Machine,ProcessTime_hr,NumOps,MachineLoad,DaysUntilDue,OptimizedLateness,LateFlag,PredictedLate,OptimizedStart_hr,OptimizedFinish_hr
0,ProdC,1,2025-08-22,1,3,M4,5,2,70.36578593800236,0,5.0,1,1,0.0,5.0
1,ProdA,4,2025-08-20,1,3,M3,4,3,47.41738290873252,2,0.0,1,1,0.0,4.0
2,ProdC,2,2025-08-21,1,1,M3,2,1,9.783416065100148,0,2.0,0,0,0.0,2.0
3,ProdC,8,2025-08-21,4,1,M5,7,4,49.16158751168324,5,0.0,1,1,0.0,7.0
4,ProdA,4,2025-08-23,1,3,M3,1,3,47.34717707805657,0,1.0,1,1,0.0,1.0
5,ProdA,2,2025-08-24,3,2,M3,4,3,17.320186991001517,4,0.0,1,1,1.0,5.0
6,ProdC,6,2025-08-22,1,1,M3,5,4,43.385164923797305,0,6.0,1,1,1.0,6.0
7,ProdB,6,2025-08-20,2,3,M2,4,2,39.85047343973734,2,0.0,1,1,0.0,4.0
8,ProdC,4,2025-08-23,2,1,M5,1,3,61.585009805221645,1,0.0,1,1,7.0,8.0
9,ProdC,6,2025-08-24,4,1,M1,6,2,63.50936508676438,3,0.0,1,1,0.0,6.0
10,ProdC,2,2025-08-23,2,2,M4,6,1,4.530400977204452,2,0.0,1,1,5.0,11.0
11,ProdC,2,2025-08-24,3,3,M1,4,2,37.46126146264712,2,0.0,1,1,6.0,10.0
12,ProdA,4,2025-08-24,1,3,M5,3,1,62.58599157142364,1,0.0,0,0,8.0,11.0
13,ProdC,8,2025-08-22,4,2,M4,7,2,50.31362585800877,3,0.0,1,1,5.0,12.0
14,ProdB,7,2025-08-24,1,2,M5,7,3,85.64898411883223,2,0.0,0,0,8.0,15.0
15,ProdA,9,2025-08-23,1,3,M3,4,3,65.8693631618945,2,0.0,0,0,6.0,10.0
16,ProdB,8,2025-08-24,3,3,M4,2,1,16.29344270814297,2,0.0,1,1,12.0,14.0
17,ProdB,5,2025-08-22,2,2,M3,2,4,7.056874740042984,1,0.0,1,1,6.0,8.0
18,ProdB,2,2025-08-22,2,1,M1,7,1,64.24192782063156,1,0.0,1,1,10.0,17.0
19,ProdB,5,2025-08-23,1,1,M1,7,1,2.6511310541621813,2,0.0,1,1,10.0,17.0
20,ProdA,8,2025-08-21,4,2,M4,6,2,58.57755812734633,3,0.0,1,1,14.0,20.0
21,ProdA,9,2025-08-21,2,1,M4,3,2,94.02302414249576,3,0.0,1,1,14.0,17.0
22,ProdB,9,2025-08-24,4,2,M5,1,1,57.5474177875879,4,0.0,1,1,15.0,16.0
23,ProdB,1,2025-08-20,2,1,M5,2,3,38.816992620652194,3,0.0,1,1,15.0,17.0
24,ProdA,9,2025-08-24,4,1,M3,7,2,64.32882184423532,5,0.0,1,1,8.0,15.0
25,ProdA,7,2025-08-23,3,3,M4,6,4,45.825289049151664,3,0.0,1,1,17.0,23.0
26,ProdA,9,2025-08-23,4,3,M1,5,2,54.56167893159349,5,0.0,1,1,17.0,22.0
27,ProdC,8,2025-08-23,3,1,M5,6,2,94.14648087765252,2,0.0,1,1,17.0,23.0
28,ProdC,1,2025-08-23,3,1,M5,2,4,38.610263780077425,2,0.0,1,1,17.0,19.0
29,ProdC,8,2025-08-23,4,3,M1,2,1,96.11905638239142,5,0.0,1,1,17.0,19.0
30,ProdB,8,2025-08-22,3,3,M5,6,4,90.53506419560637,2,0.0,1,1,19.0,25.0
31,ProdC,3,2025-08-21,1,3,M3,1,1,19.579113478929642,2,0.0,1,1,15.0,16.0
32,ProdB,1,2025-08-23,3,2,M4,4,1,6.9361300875165455,2,0.0,1,1,23.0,27.0
33,ProdB,8,2025-08-20,2,1,M1,2,1,10.077800137742665,1,0.0,1,1,19.0,21.0
34,ProdC,3,2025-08-20,4,3,M4,6,4,1.8221825651549728,5,0.0,1,1,23.0,29.0
35,ProdB,3,2025-08-20,1,1,M5,7,1,9.44429607559284,0,32.0,1,1,25.0,32.0
36,ProdC,1,2025-08-20,4,2,M5,6,3,68.30067734163569,5,0.0,0,0,25.0,31.0
37,ProdC,5,2025-08-22,2,2,M1,3,4,7.118864846022898,1,0.0,0,0,21.0,24.0
38,ProdA,7,2025-08-20,2,3,M3,4,3,31.89756302937613,1,0.0,1,1,16.0,20.0
39,ProdC,9,2025-08-23,2,2,M2,5,1,84.48753109694546,2,0.0,1,1,4.0,9.0
40,ProdA,7,2025-08-24,3,1,M1,1,2,2.3271935735825866,3,0.0,1,1,24.0,25.0
41,ProdC,9,2025-08-20,3,3,M2,5,1,81.44684825889358,4,0.0,0,0,9.0,14.0
42,ProdC,8,2025-08-22,4,1,M2,4,3,28.185477477339994,4,0.0,1,1,9.0,13.0
43,ProdA,2,2025-08-22,4,1,M3,4,3,11.816482762165625,5,0.0,0,0,20.0,24.0
44,ProdA,1,2025-08-20,1,2,M2,4,4,69.67371653641507,1,0.0,0,0,9.0,13.0
45,ProdC,7,2025-08-24,1,2,M2,5,2,62.8942846779884,0,18.0,0,0,13.0,18.0
46,ProdB,7,2025-08-20,4,2,M3,7,4,87.74720135270529,5,0.0,1,1,24.0,31.0
47,ProdA,8,2025-08-22,3,2,M2,4,3,73.50710438038858,4,0.0,1,1,13.0,17.0
48,ProdB,5,2025-08-21,2,2,M2,6,1,80.34809303848486,1,0.0,1,1,13.0,19.0
49,ProdB,3,2025-08-23,4,3,M2,5,2,28.203457257130648,5,0.0,1,1,13.0,18.0
50,ProdB,8,2025-08-22,1,1,M1,4,1,17.743954377972283,2,0.0,1,1,25.0,29.0
51,ProdA,6,2025-08-20,3,1,M1,6,1,75.06147516408583,3,0.0,1,1,25.0,31.0
52,ProdB,3,2025-08-23,4,1,M1,7,2,80.6834739267264,5,0.0,1,1,25.0,32.0
53,ProdA,1,2025-08-20,4,1,M3,3,4,99.05051420006733,3,0.0,1,1,31.0,34.0
54,ProdB,3,2025-08-20,3,2,M5,7,1,41.26176769114265,3,0.0,1,1,31.0,38.0
55,ProdC,5,2025-08-21,4,1,M2,4,3,37.201808579278314,4,0.0,1,1,18.0,22.0
56,ProdC,3,2025-08-23,3,3,M2,5,1,77.64129607419969,2,0.0,1,1,18.0,23.0
57,ProdA,1,2025-08-23,2,3,M3,2,2,34.08035402530179,1,12.0,1,1,34.0,36.0
58,ProdC,5,2025-08-21,3,1,M2,4,2,93.07573256035647,3,0.0,1,1,18.0,22.0
59,ProdC,7,2025-08-22,3,1,M1,2,2,85.84127518430118,4,0.0,1,1,32.0,34.0
